text,category
"Further rise in UK jobless total

The UK's jobless total rose for the second month in a row in December, official figures show.

The number of people out of work rose 32,000 to 1.41 million in the last three months of 2004, even as 90,000 more people were in employment. Average earnings rose by 4.3% in the year to December up from November's 4.2%, the Office for National Statistics (ONS) added. Meanwhile, the benefit claimant total fell 11,000 to 813,200 last month. Throughout 2004, the number of people in work increased by 296,000 to 28.52 million - the highest figure since records began in 1971.

The apparent discrepancy between rising unemployment and record numbers in work can be explained by an increase in the working population and a fall in those who are economically inactive. While the UK's jobless rate rose to 4.7% from 4.6% in the previous quarter, the rate still remains one of the lowest in the world, compared with 12.1% in Germany, 10.4% in Spain and 9.7% in France. But, despite more people being in work, the manufacturing sector continued to suffer, with 104,000 workers axed during the last quarter of 2004 - pushing employment in the sector to a record low of 3.24 million by the end of last year. The figures prompted some analysts to forecast that the Bank of England will almost certainly raise rates this year. Marc Ostwald, a strategist at Monument Securities told Reuters that while no immediate market impact could be expected, ""it is enough to underline that they (the BoE) will be more hawkish on rates"".",business
"JP Morgan admits US slavery links

Thousands of slaves were accepted as collateral for loans by two banks that later became part of JP Morgan Chase.

The admission is part of an apology sent to JP Morgan staff after the bank researched its links to slavery in order to meet legislation in Chicago. Citizens Bank and Canal Bank are the two lenders that were identified. They are now closed, but were linked to Bank One, which JP Morgan bought last year. About 13,000 slaves were used as loan collateral between 1831 and 1865.

Because of defaults by plantation owners, Citizens and Canal ended up owning about 1,250 slaves. ""We all know slavery existed in our country, but it is quite different to see how our history and the institution of slavery were intertwined,"" JP Morgan chief executive William Harrison and chief operating officer James Dimon said in the letter. ""Slavery was tragically ingrained in American society, but that is no excuse."" ""We apologise to the African-American community, particularly those who are descendants of slaves, and to the rest of the American public for the role that Citizens Bank and Canal Bank played."" ""The slavery era was a tragic time in US history and in our company's history."" JP Morgan said that it was setting up a $5m scholarship programme for students living in Louisiana, the state where the events took place. The bank said that it is a ""very different company than the Citizens and Canal Banks of the 1800s"".",business
"WorldCom director admits lying

The former chief financial officer at US telecoms firm WorldCom has admitted before a New York court that he used to lie to fellow board members.

Speaking at the trial of his former boss Bernard Ebbers, Scott Sullivan said he lied to the board to cover up the hole in WorldCom's finances. Mr Ebbers is on trial for fraud and conspiracy in relation to WorldCom's collapse in 2002. He pleads not guilty. The firm had been overstating its accounts by $11bn (£8.5bn). Mr Sullivan, 42, has already pleaded guilty to fraud and will be sentenced following Mr Ebbers' trial, where he is appearing as a prosecution witness. Mr Ebbers, 63, has always insisted that he was unaware of any hidden shortfalls in WorldCom's finances.

In the New York court on Wednesday, Mr Ebbers' lawyer Reid Weingarten asked Mr Sullivan: ""If you believe something is in your interest, you are willing and able to lie to accomplish it, isn't that right?""

""On that date, yes. I was lying,"" replied Mr Sullivan. Mr Weingarten has suggested that Mr Sullivan is implicating Mr Ebbers only to win a lighter sentence, something Mr Sullivan denies. Mr Sullivan also rejects a suggestion that he had once told fellow WorldCom board member Bert Roberts that Mr Ebbers was unaware of the accounting fraud at WorldCom. The trial of Mr Ebbers is now into its third week.

Under 23 hours of questioning from a federal prosecutor, Mr Sullivan has previously told the court that he repeatedly warned Mr Ebbers that falsifying the books would be the only way to meet Wall Street revenue and earnings expectations. Mr Sullivan claims that Mr Ebbers refused to stop the fraud. Mr Ebbers could face a sentence of 85 years if convicted of all the charges he is facing. WorldCom's problems appear to have begun with the collapse of the dotcom boom which cut its business from internet companies. Prosecutors allege that the company's top executives responded by orchestrating massive fraud over a two-year period. WorldCom emerged from bankruptcy protection in 2004, and is now known as MCI.",business
"M&S cuts prices by average of 24%

Marks & Spencer has cut prices in London and the regions by an average of 24%, according to research from a City investment bank.

Dresdner Kleinwort Wasserstein said: ""In spite of the snow in the UK, it still feels very early to be cutting prices of spring merchandise."" Stuart Rose, head of M&S, said last year its prices were too high. ""We are bringing in ranges at new price points to compete against mid-market retailers like Next,"" said M&S.

Next is one of M&S's biggest competitors and the move may force it to lower prices. DrKW said the cuts are either to clear stock or could indicate a longer term ""step change in pricing in certain areas"" at M&S. ""Either way, this cannot be good news for M&S' margin,"" it added. ""We have brought in quite a lot of new clothing at new price points as part of Stuart Rose's strategy of quality, style -and price,"" said the M&S spokesman. Many analysts believe February is proving to be a difficult month for retailers and British Retail Consortium figures, due in a few weeks, are expected to reflect the tough trading environment. Separately, investment bank Goldman Sachs produced reseach showing that a basket of 35 M&S goods is now 11% above the high-street average, compared with 43% higher last year.

It has been a strange week for M&S, which on Tuesday received a statement from Philip Green, the billionaire Bhs owner, confirming he was not rebidding for the company. This was followed the same day by Mark Paulsmeier, a South African financier, issuing a press release saying his Paulsmeier Group was interested in M&S. A sudden spike in M&S's share price followed. However, an M&S spokesman said on Sunday it had no evidence that Mr Paulsmeier had lined up sufficient finance for a bid. He also said the Takeover Panel and the UK's financial watchdog the Financial Services Authority had been in touch with M&S at the beginning of the week to find out what it knew about the Paulsmeier developments.",business
"Mixed reaction to Man Utd offer

Shares in Manchester United were up over 5% by noon on Monday following a new offer from Malcolm Glazer.

The board of Man Utd is expected to meet early this week to discuss the latest proposal from the US tycoon that values the club at £800m ($1.5bn). Manchester United revealed on Sunday that it had received a detailed proposal from Mr Glazer. A senior source at the club told the BBC: ""This time it's different"". The board is obliged to consider this deal. But the Man Utd supporters club urged the club to reject the new deal. Manchester United past and present footballers Eric Cantona and Ole Gunnar Solskjaer, and club manager Sir Alex Ferguson, have lent their backing to the supporters' group, Shareholders United. They have all spoken out against the bid.

A spokesman for the supporters club said: ""I can't see any difference (compared to Mr Glazer's previous proposals) other than £200m less debt. ""He isn't bringing any money into the club; he'll use our money to buy it.""

Mr Glazer's latest move is being led by Mr Glazer's two sons, Avi and Joel, according to the Financial Times. A proposal was received by David Gill, United's chief executive, at the end of last week, pitched at about 300p a share. David Cummings, head of UK equities for Standard Life Investments, said he believed a ""well funded"" 300p a share bid would be enough for Mr Glazer to take control of the club. ""I do not think there is anything that Manchester United fans can do about it,"" he told the BBC. ""They can complain about it but it is curtains for them. They may not want him but they are going to get him."" The US tycoon, who has been wooing the club for the last 12 months, has approached the United board with ""detailed proposals"", it has confirmed.

Mr Glazer, who owns the Tampa Bay Buccaneers team, hopes this will lead to a formal bid being accepted. He is believed to have increased the amount of equity in the new proposal, though it is not clear by how much. For his proposal to succeed, he needs the support of United's largest shareholders, the Irish horseracing tycoons JP McManus and John Magnier. They own 29% of United through their Cubic Expression investment vehicle. Mr Glazer and his family hold a stake of 28.1%. But it is not yet known whether Mr McManus and Mr Magnier would support a Glazer bid. NM Rothschild, the investment bank, is advising Mr Glazer, according to the Financial Times. His previous adviser, JPMorgan, quit last year when Mr Glazer went ahead and voted against the appointment of three United directors to the board, against its advice. But the FT said it thought JP Morgan may still have had some role in financing Mr Glazer's latest financial proposal.",business
"Yukos heading back to US courts

Russian oil and gas company Yukos is due in a US court on Thursday as it continues to fight for its survival.

The firm is in the process of being broken up by Russian authorities in order to pay a $27bn (£14bn) tax bill. Yukos filed for bankruptcy in the US, hoping to use international business law to halt the forced sale of its key oil production unit, Yuganskneftegas. The unit was however sold for $9.4bn to state oil firm Rosneft but only after the state auction had been disrupted.

Yukos lawyers now say the auction violated US bankruptcy law. The company and its main shareholders have vowed to go after any company that buys its assets, using all and every legal means. The company wants damages of $20bn, claiming Yuganskneftegas was sold at less than market value. Judge Letitia Clark will hear different motions, including one from Deutsche Bank to throw out the Chapter 11 bankruptcy filing. The German lender is one of six banks that were barred from providing financing to Gazprom, the Russian state-owned company that was expected to win the auction for Yuganskneftegas. Deutsche Bank, which is also an advisor to Gazprom, has called on the US court to overturn its decision to provide Yukos with bankruptcy protection.

Lifting the injunction would remove the uncertainty that surrounds the court case and clarify Deutsche Bank's business position, analysts said.

Analysts are not optimistic about Yukos' chances in court. Russian President Vladimir Putin and the country's legal authorities have repeatedly said that the US has no jurisdiction over Yukos and its legal wranglings. On top of that, the firm only has limited assets in the US. Yukos has won small victories, however, and is bullish about its chances in court. ""Do we have an ability to influence what happens? We think we do,"" said Mike Lake, a Yukos spokesman. ""The litigation risks are real,"" said Credit Suisse First Boston analyst Vadim Mitroshin The dispute with the Russian authorities is partly driven by President Putin's clampdown on the political ambitions of ex-Yukos boss Mikhail Khodorkovsky. Mr Khodorkovsky is in jail on charges of fraud and tax evasion.",business
"US firm pulls out of Iraq

A US company has pulled out of a major contract to rebuild Iraq's transport system after attacks on reconstruction efforts, Pentagon officials have said.

Contrack International, of Arlington, Virginia, heads a coalition of firms working on a series of schemes. Its withdrawal from the $325m (£170m) contract in November is thought to be the largest cancellation to date. Contrack said ""the original scope of work that was envisioned could not be executed in a cost-effective manner"". But the firm denied reports it was withdrawing completely from Iraq. ""Members of the joint venture including Contrack are committed to the ongoing reconstruction efforts, are actively working in Iraq and continue to look for new construction opportunities in the country,"" it said in a statement. The Pentagon's Project and Contract Office (PCO) in Baghdad said it had taken over Contrack's management of the subcontractors working on the transportation projects.

US firms and their workers have been targets of attacks, and security concerns are said to be a major reason for the slow pace of reconstruction in Iraq. Of the $18.4bn in reconstruction funds approved by Congress, less than $2bn has been spent. Lt Col Eric Schnaible of the PCO told the Associated Press news agency Contrack's withdrawal from the transportation contract was a ""mutually agreed-to separation"" and did not indicate a movement by US companies to leave Iraq. ""Some parts of the country are a whole lot more permissive than others,"" he added. ""Where we can get the work done, good things are happening.""",business
"Dollar hovers around record lows

The US dollar hovered close to record lows against the euro on Friday as concern grows about the size of the US budget deficit.

Analysts predict that the dollar will remain weak in 2005 as investors worry about the state of the US economy. The Bush administration's apparent unwillingness to intervene to support the dollar has caused further concern. However, trading has been volatile over the past week because of technical and automated trading and light demand. This has amplified reactions to news, analysts said, adding that they expect markets to become less jumpy in January.

The dollar was trading at $1.3652 versus the euro on Friday morning after hitting a fresh record low of $1.3667 on Thursday. One dollar bought 102.55 yen.

Disappointing business figures from Chicago triggered the US currency's weakness on Thursday. The National Association of Purchasing Management-Chicago said its manufacturing index dropped to 61.2, a bigger fall than expected. ""There are no dollar buyers now, especially after the Chicago data yesterday,"" said ABN Amro's Paul Mackel. At the same time, German Chancellor Gerhard Schroeder and Italian Prime Minister Silvio Berlusconi voiced concerns about the strength of the euro. Mr Berlusconi said the euro's strength was ""absolutely worrying"" for Italian exports. Mr Schroeder said in a newspaper article that stability in foreign exchange markets required a correction of global economic imbalances. Investors will now look towards February's meeting of finance ministers from the G7 industrialised nations in London for clues as to whether central banks will combine forces to stem the dollar's decline.",business
"Beer giant swallows Russian firm

Brewing giant Inbev has agreed to buy Alfa-Eco's stake in Sun Interbrew, Russia's second-largest brewer, for up to 259.7m euros ($353.3m; £183.75m).

Alfa-Eco, the venture capital arm of Russian conglomerate Alfa Group, has a one-fifth stake in Sun Interbrew. The deal gives Inbev, the world's biggest beermaker, near-total control over the Russian brewer. Inbev bought out another partner in August 2004. Inbev brands include Bass, Stella Artois, Hoegaarden and Staropramen. It employs 77,000 people, running operations in over 30 countries across the Americas, Europe and Asia Pacific.

The Leuven-based brewery said it would own 97.3% of the voting shares and 98.8% of the non-voting shares of Sun Interbrew. The deal is expected to be completed in the first quarter of 2005. Inbev was formed in August 2004 when Belgium's Interbrew bought Brazilian brewer Ambev. Sun Interbrew, which employs 8,000 staff, owns breweries in eight Russian cities - Klin, Ivanovo, Saransk, Kursk, Volzhsky, Omsk, Perm and Novocheboksarsk. There are also three breweries in Ukraine, in the cities of Chernigov, Nikolaev and Kharkov.",business
"China suspends 26 power projects

China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds.

The move is a surprising one because China is struggling to increase energy supplies for its booming economy. Last year 24 provinces suffered black outs. The State Environmental Protection Agency said the 26 projects had failed to do proper environmental assessments. Topping the list was a controversial dam on the scenic upper Yangtze River. ""Construction of these projects has started without approval of the assessment of their environmental impact... they are typical illegal projects of construction first, approval next,"" said SEPA vice-director Pan Yue, in a statement on the agency's website.

Some of the projects may be allowed to start work again with the proper permits, but others would be cancelled, he said. Altogether, the agency ordered 30 projects halted. Other projects included a petrochemicals plant and a port in Fujian. The bulk of the list was made up of new power plants, with some extensions to existing ones. The stoppages would appear to be another step in the central government's battle to control projects licensed by local officials. However, previous crackdowns have tended to focus on projects for which the government argued there was overcapacity, such as steel and cement. The government has encouraged construction of new electricity generating capacity to solve chronic energy shortages which forced many factories onto part-time working last year. In 2004, China increased its generating capacity by 12.6%, or 440,700 megawatts (MW). The biggest single project to be halted was the Xiluodi Dam project, designed to produce 12,600 MW of electricity. It is being built on the Jinshajiang - or 'river of golden sand' as the upper reaches of the Yangtze are known. Second and third on the agency's list were two power stations being built at the $22bn Three Gorges Dam project on the central Yangtze - an underground 4,200 MW power plant and a 100 MW plant.

The Three Gorges Dam has proved controversial in China - where more than half a million people have been relocated to make way for it - and abroad. It has drawn criticism from environmental groups and overseas human rights activists. The damming of the Upper Yangtze has also begun to attract criticism from environmentalists in China. In April 2004, central government officials ordered a halt to work on the nearby Nu River, which is part of a United Nations world heritage site, the Three Parallel Rivers site which covers the Yangtze, Mekong and Nu (also known as the Salween), according to the UK-published China Review. That move reportedly followed a protest from the Thai government about the downstream impact of the dams, and a critical documentary made by Chinese journalists. China's energy shortage influenced global prices for oil, coal and shipping last year.",business
